"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook",1,15,0.000739315019817848,0.000221309584674719,"[0, 0]",0,0.00256917615574878,0.000828064642262035,4.2679852932049e-05
"2","facebook",2,28,0.000763556343592367,7.78656995509164e-05,"[0, 0]",0,0.00161259018777252,0.000404602043367241,2.44625684293637e-05
"3","facebook",3,22,0.000513049104977075,9.94607040581619e-05,"[0, 0]",0,0.00148287214604813,0.000455786205020128,2.41863086473574e-05
"4","facebook",4,14,0.00147310481757817,0.000181817679570662,"[0, 0]",1.56153105796036e-05,0.00295501058783393,0.000655552966477902,4.29343556586882e-05
"5","facebook",5,30,0.000773102333592707,9.52200483606134e-05,"[0, 0]",0,0.00183504028861922,0.000512775653365221,2.88948645994915e-05
"6","instagram",1,15,0.00144934394991532,0.000235428026658843,"[0, 0]",0,0.00339855910486747,0.000880891015001672,5.2124657927988e-05
"7","instagram",2,28,0.00192582019411448,0.000159172730383899,"[0, 0]",0.000201320964546069,0.00365768248966963,0.000827085768613129,5.16215460843416e-05
"8","instagram",3,22,0.000862350509451966,0.000154174721941886,"[0, 0]",0,0.0023618906267312,0.000706517333547463,3.81305585234962e-05
"9","instagram",4,14,0.00223810855401475,0.000390008662966794,"[0, 0.01]",0,0.0054101906093196,0.00140619623220193,8.30563946840753e-05
"10","instagram",5,30,0.00213773786736456,0.000248751411247682,"[0, 0]",0,0.00493449676645382,0.00133956734557606,7.69053682586459e-05
"11","print_media",1,15,0.00290394138852454,0.0006238655551711,"[0, 0.01]",0,0.00804805514013365,0.00233429116285977,0.000128450883493467
"12","print_media",2,28,0.00493595731603962,0.000544449419823452,"[0, 0.01]",0,0.0108584985139759,0.00282904217185685,0.000166834170279693
"13","print_media",3,22,0.00205329558313769,0.000373210498829039,"[0, 0.01]",0,0.00568594157106567,0.0017102653610363,9.19845686175583e-05
"14","print_media",4,14,0.00517832230060669,0.000787189032897248,"[0, 0.01]",0,0.0115845292263372,0.00283825042159394,0.000174353839086112
"15","print_media",5,30,0.00393173958884199,0.000514944478169747,"[0, 0.01]",0,0.00968454284708789,0.00277306088146796,0.000153845097070948
"16","radio",1,15,0,0,"[0, 0]",0,0,0,0
"17","radio",2,28,0,0,"[0, 0]",0,0,0,0
"18","radio",3,22,0,0,"[0, 0]",0,0,0,0
"19","radio",4,14,0,0,"[0, 0]",0,0,0,0
"20","radio",5,30,0,0,"[0, 0]",0,0,0,0
"21","tv",1,15,0.000435081355870562,4.16894033390076e-05,"[0, 0]",8.82814395540186e-05,0.000780886100993874,0.000155987463953596,1.01472685792631e-05
"22","tv",2,28,0.000658399278825303,7.53947651257263e-05,"[0, 0]",0,0.0014785946277838,0.00039176269146744,2.28496970779665e-05
"23","tv",3,22,0.000276622264267905,2.27757488461112e-05,"[0, 0]",5.39114948641307e-05,0.000498232353011819,0.000104371593096608,6.59660650849398e-06
"24","tv",4,14,0.000544317064985624,0.000100280914495093,"[0, 0]",0,0.00135473704362174,0.000361567979162479,2.09886161812798e-05
"25","tv",5,30,0.000684055188721756,7.44537597042323e-05,"[0, 0]",0,0.00151668921051385,0.000400945766518081,2.34200075106062e-05
"26","youtube",1,15,9.53170737826897e-05,2.73170678061841e-05,"[0, 0]",0,0.000322747396228657,0.000102211108542014,5.32494558901701e-06
"27","youtube",2,28,0.000253961211394264,2.38456489087985e-05,"[0, 0]",0,0.000511905061156315,0.000123905626348465,7.67390216013378e-06
"28","youtube",3,22,0.000110054792431196,1.21106023797393e-05,"[0, 0]",0,0.000228049799668472,5.54977521166676e-05,3.4247000394122e-06
"29","youtube",4,14,0.000180417087699941,2.18954267733827e-05,"[0, 0]",4.60740065731901e-06,0.000358584605751592,7.89450839295983e-05,5.1703775045805e-06
"30","youtube",5,30,0.000155065401577492,8.01851154184237e-06,"[0, 0]",6.54043603746428e-05,0.000245054045418019,4.31810061607314e-05,2.68698684206908e-06
